,OFFENSE_CODE_GROUP,DISTRICT,YEAR,MONTH,DAY_OF_WEEK,HOUR,Lat,Long
351588,Larceny,A1,2016,3,7,10,42.35272948,-71.06256291
351607,Larceny,D4,2016,3,7,7,42.34698823,-71.09874531
351611,Larceny,D4,2016,3,7,5,42.3457782,-71.08429595
351637,Larceny,A7,2016,3,7,2,42.377118599999996,-71.03915175
351669,Larceny,C11,2016,3,7,1,42.2554572,-71.12078435
351686,Larceny,E18,2016,3,6,23,42.25649605,-71.12051009999999
351700,Larceny,D4,2016,3,6,20,42.34439568,-71.08632016
351720,Larceny,D4,2016,3,6,20,42.34701666,-71.06886238
351727,Larceny,D4,2016,3,6,18,42.35060226,-71.07273327
351730,Larceny,C6,2016,3,6,18,42.33546813,-71.04489149
351731,Larceny,D4,2016,3,6,19,42.35095909,-71.0741278
351733,Larceny,B2,2016,3,6,18,42.32503262,-71.06915744
351750,Larceny,B2,2016,3,6,18,42.33409703,-71.10226374
351763,Larceny,B2,2016,3,6,16,42.30938437,-71.08262277
351774,Larceny,D4,2016,3,6,15,42.34862382,-71.08277637
351797,Larceny,A1,2016,3,6,13,42.35512339,-71.0608798
351806,Larceny,E13,2016,3,4,18,42.31550475,-71.10051479
351847,Larceny,C11,2016,3,6,11,42.28410589,-71.04608937
351853,Larceny,A15,2016,3,6,10,42.35521625,-71.06012863
351863,Larceny,E13,2016,3,6,10,42.32291406,-71.10328402
351875,Larceny,B2,2016,3,6,9,42.3231484,-71.07004417
351879,Larceny,A1,2016,3,6,9,42.36020464,-71.05620816
351891,Larceny,A1,2016,3,6,8,42.35103105,-71.06373331
351905,Larceny,D4,2016,3,5,18,42.34285014,-71.06516235
351915,Larceny,E13,2016,3,6,3,42.31310373,-71.10319412
352003,Larceny,D4,2016,3,5,19,42.34353469,-71.09980109
352006,Larceny,D4,2016,3,5,18,42.33401829,-71.07638124
352025,Larceny,D4,2016,3,5,14,42.34749899,-71.07925506
352041,Larceny,B3,2016,3,5,16,42.29012204,-71.08964896
352077,Larceny,D14,2016,3,5,14,42.35595391,-71.13852468
352088,Larceny,A1,2016,3,5,12,42.35604739,-71.05234304
352091,Larceny,A1,2016,3,5,13,42.3520464,-71.06992523
352103,Larceny,B2,2016,3,6,12,42.33013124,-71.10138008
352104,Larceny,A1,2016,3,4,14,42.35487365,-71.05861218
352122,Larceny,D4,2016,3,5,20,42.33401829,-71.07638124
352125,Larceny,D4,2016,3,5,10,42.34862382,-71.08277637
352213,Larceny,A15,2016,3,4,19,42.38048498,-71.06345579
352215,Larceny,C11,2016,3,4,19,42.30636118,-71.06195361
352219,Larceny,E13,2016,3,4,21,42.32513051,-71.09940815
352223,Larceny,D4,2016,3,4,20,42.34840576,-71.08688339
352227,Larceny,D4,2016,3,4,18,42.34862382,-71.08277637
352239,Larceny,A1,2016,3,4,20,42.36293611,-71.05253795
352243,Larceny,B3,2015,11,4,9,42.29406247,-71.09004553
352247,Larceny,D4,2016,3,4,17,42.345419,-71.10454
352248,Larceny,A1,2016,3,5,23,42.35706352,-71.05308003
